单词,次数
发怒,1
付钱,1
要钱,1
富有,1
一切,1
迅速,1
总是,1
费尽心思,1
买房子,1
真正,1
咱们,1
思考,1
能够,1
冲,1
缓慢,1
尖叫,1
那猴,1
地板,1
于是,1
更急,1
不到,1
说天,1
出现,1
一言不发,1
过后,1
没事,1
凭空,1
之后,1
吸,1
烟,1
下,1
袋子,1
晚安,1
走出,1
灭,1
天黑,1
一张,1
漆黑,1
第二天,1
重新,1
一家子,1
来共进,1
讨论,1
干的事,1
窗子,1
桌上,1
人去,1
买,1
愿意,1
一块,1
享受,1
看书,1
早,1
睡得,1
太迟,1
再也,1
发火,1
任何,1
那些,1
封信里,1
寄给,1
别,1
既然,1
认为,1
留下,1
起身,1
送,1
再见,1
妈妈,1
买点,1
好吃,1
饿,1
沿着,1
快步,1
门边,1
目送,1
远去,1
暧,1
极了,1
年迈,1
屋里,1
打量,1
瞧见,1
没事儿,1
昨天晚上,1
太,1
这时候,1
两封信,1
忘记,1
晚些时候,1
大约,1
富足,1
常常,1
今天上午,1
一分钱,1
得到,1
忘掉,1
确实,1
喝多,1
并未,1
恼怒,1
理他,1
嘲笑,1
这件,1
止住,1
话音,1
他朝,1
这边,1
呵,1
不好,1
饭,1
认识,1
正朝,1
门口,1
走来,1
下午,1
正要,1
我能,1
您,1
谈谈,1
森有,1
作,1
操作工,1
请进,1
介绍,1
想道,1
森从,1
不耐烦,1
是不是,1
几乎,1
话,1
到底,1
还好,1
住院,1
哭叫,1
不喊,1
呜咽,1
伤心地,1
搂,1
喊救命,1
工友,1
们,1
办法,1
只能,1
眼睁睁,1
刹那间,1
屋子里,1
再也不能,1
以后,1
日子,1
带我去,1
不行,1
最好,1
快速,1
弄,1
别去,1
好长时间,1
回过,1
身来,1
工人,1
森,1
森要,1
不幸,1
帮助,1
森想,1
交到,1
手上,1
多少,1
其实,1
答案,1
三天,1
离,1
两英里,1
远,1
大而,1
新,1
死去,1
旧,1
等待,1
奇迹,1
过得,1
很慢,1
连话,1
无话可说,1
很长,1
一周,1
失眠,1
爬,1
回不来,1
低声,1
哭,1
哭声,1
睡,1
太冷,1
回应,1
冰冷,1
加上,1
被窝,1
睡着,1
床边,1
疑惑,1
显得,1
苍白,1
不解,1
再许,1
许了,1
大叫,1
快点,1
疯,1
喊叫,1
劝,1
人家,1
不让,1
尸体,1
不可理喻,1
悲哀,1
下楼去,1
伸手,1
缩,1
被,1
轧烂,1
可怜,1
快快,1
自己,1
悲伤地,1
最近,1
边上,1
不起作用,1
感谢上帝,1
不久,1
睡不着,1
最终,1
一枝,1
黑夜,1
使,1
停住,1
楼,1
关紧,1
身后,1
传来,1
抢先,1
挡住,1
千万,1
后面,1
站住,1
别忘了,1
来看,1
回,1
心里,1
找不着,1
终于,1
等一等,1
喊,1
开,1
与此同时,1
长长的,1
失望,1
正,1
门旁,1
黑漆漆,1
夜,1
恐惧,1
暗且,1
静,1
人影,1
the,224
and,161
to,138
white,122
he,107
a,73
mr,62
it,61
was,61
his,57
in,53
but,53
she,52
not,50
for,50
said,49
mrs,47
paw,45
herbert,43
did,42
old,42
at,40
then,32
you,32
monkeys,31
her,30
i,29
they,27
of,25
him,25
morris,25
very,24
is,24
money,22
began,22
looked,21
about,21
want,21
son,20
two,20
went,20
again,20
there,20
we,19
going,18
out,17
husband,17
tom,17
hand,17
asked,17
wife,16
some,16
soldier,16
sat,15
this,15
answered,15
come,15
minute,15
im,15
bed,15
time,14
on,14
down,14
have,14
stopped,14
do,14
can,14
wish,14
stood,14
were,13
yes,13
your,13
up,13
see,13
give,13
me,13
into,13
back,13
my,13
afraid,13
nothing,13
stranger,13
because,12
family,12
laughed,12
now,12
man,12
door,12
what,12
go,12
cried,12
dont,12
got,11
suddenly,11
its,11
from,11
put,11
little,10
mother,10
india,10
our,10
stories,10
took,10
no,10
cold,9
livingroom,9
good,9
with,9
room,9
noise,9
could,9
friend,9
too,9
things,9
came,9
face,9
ran,9
dark,8
nice,8
woman,8
waited,8
talk,8
warm,8
story,8
first,8
dead,8
get,8
their,8
that,8
whats,8
maw,8
meggins,8
chapter,7
rain,7
watched,7
be,7
long,7
father,7
night,7
right,7
didnt,7
