单词,次数
饿肚子,1
长得,1
瘦弱,1
缺衣少,1
一连几天,1
吃不上,1
来说,1
可怜兮兮,1
傻头傻脑,1
不管怎样,1
认为,1
本书,1
以女,1
主人公,1
口吻,1
一家人,1
被,1
关押,1
作者,1
罗伊娜,1
艾金,1
耶米,1
英国人,1
非洲,1
多年,1
剑桥市,1
取材于,1
事件,1
寒冷,1
依旧,1
关,1
女犯人,1
床,1
椅子,1
睡,1
女囚,1
有时候,1
水,1
牢牢地,1
一员,1
感受,1
重新,1
蔚蓝,1
太冷,1
爬起来,1
人站,1
轻轻地,1
看清楚,1
长着,1
高个子,1
一双,1
蓝眼睛,1
倦意,1
两条腿,1
停止,1
挪动,1
门,1
桌旁,1
肉,1
谢谢,1
终于,1
开口,1
问道,1
昨天,1
闭上眼睛,1
上个星期,1
盘问,1
时间,1
与你同在,1
特别,1
忘,1
陪伴着,1
桌上,1
拿走,1
怎么,1
重,1
放进,1
可不,1
愿,1
哭泣,1
感觉,1
稍,1
只有,1
谎话,1
霍尔斯,1
通斯,1
参加,1
会议,1
他会,1
讲些,1
老年,1
儿童,1
我出,1
生于,1
家庭,1
贫穷,1
自从,1
一年到头,1
吃不饱,1
常常,1
几英里,1
一扇门,1
雨水,1
浇,1
西面,1
一座,1
大山,1
这座,1
终年,1
宁静,1
讲起,1
生着,1
围着,1
一小堆,1
几条,1
外面,1
经常,1
重复,1
向东走,1
爬,1
走过,1
大树,1
年岁,1
高高的,1
脏乎乎,1
脸色苍白,1
饥肠辘辘,1
天气,1
请等一下,1
我冲,1
招呼,1
条大狗,1
很大,1
不堪,1
河向,1
胖子,1
五十岁,1
上下,1
给点钱,1
很慢,1
一来,1
胖,1
二来,1
背着,1
玩意儿,1
小商贩,1
翻山越岭,1
跑遍,1
村庄,1
我点,1
不会,1
摘下,1
稀少,1
些,1
坏人,1
不许,1
提起,1
劳的,1
往,1
低下头,1
看看,1
奔跑,1
停下,1
脚步,1
满脸,1
狗叫,1
坏女孩,1
张开,1
脸色,1
煞白,1
下去,1
硕大,1
身躯,1
摔倒,1
冲到,1
盯,1
劳看,1
片刻,1
路快,1
各自,1
我下,1
年轻人,1
他病,1
很重,1
抬,1
活着,1
蹲,1
脚边,1
女孩子,1
慢吞吞,1
扑,1
急忙,1
点钱,1
这么回事,1
走开,1
山下,1
紧跟着,1
抬着,1
乏,1
数英里,1
之外,1
病倒,1
审问,1
一带,1
村落,1
一见,1
一行,1
步行,1
前往,1
之所以,1
同行,1
很难,1
里面,1
花园,1
古树,1
房门,1
高,1
白发苍苍,1
黑色,1
昂贵,1
面生,1
旺旺,1
时真,1
自己,1
进去,1
小家伙,1
旁边,1
紧靠着,1
美妙,1
暖烘烘,1
两三个,1
窗口,1
艾丽森站,1
脏兮兮,1
比,1
还要,1
低沉,1
谨慎,1
怎么回事,1
当然,1
劳先生,1
有话,1
身边,1
几乎,1
男子汉,1
感到恐惧,1
这时候,1
别问,1
急促,1
一天到晚,1
翻越,1
山走,1
讨饭,1
接着,1
曾经,1
冷冷地,1
抬起,1
头张,1
遍地,1
不能,1
送,1
进,1
地喊,1
脸涨,1
脸上,1
表情,1
热情,1
随从人员,1
离马尔,1
不远,1
费,1
多少,1
劲,1
身材矮小,1
长,1
胖胖的,1
全掉,1
光,1
八十岁,1
难,1
使性子,1
近,1
问题,1
衣帽,1
华贵,1
笑声,1
令,1
就要,1
真地,1
年前,1
蒂勃,1
男孩,1
猫来,1
拜访,1
交谈起来,1
小心,1
这些,1
我用,1
泥,1
制成,1
一定,1
命,1
不要,1
再说,1
警卫,1
带走,1
外孙女,1
胳膊,1
一匹,1
马队,1
高喊,1
寻找,1
马,1
村子,1
有个,1
慈爱,1
好些,1
嘴里,1
念叨,1
冲,1
大嚷,1
大叫,1
恼火,1
天后,1
呀,1
答话,1
跟前,1
慢慢腾腾,1
地站,1
好几个,1
第二天,1
早上,1
村去,1
家有,1
穷人,1
星期五,1
情况,1
留下来,1
干活,1
一大堆,1
火上,1
烤羊,1
客人,1
酒来,1
围坐在,1
喝酒,1
谈论着,1
老太太,1
救出,1
把门,1
打破,1
她俩,1
老头儿,1
喝点,1
再拿些,1
绊倒,1
掉,1
摔碎,1
洒,1
嚷,1
清楚,1
哄笑,1
烫,1
走出,1
下午,1
下着雨,1
漆黑,1
静静地,1
山说,1
出马,1
尔,1
树林,1
潺潺,1
流水声,1
悦耳,1
河走,1
天下,1
雨来,1
马蹄声,1
大路,1
马匹,1
停,1
原来,1
用,1
那双,1
回家吧,1
马上马,1
大道,1
行进,1
一路,1
屋门,1
挨着,1
边,1
拿,1
热饮,1
吩咐,1
热,1
牛奶,1
一辈子,1
完,1
看书,1
抬起头来,1
有事,1
说好,1
友善,1
正聚,1
打算,1
桌前,1
说完,1
和蔼,1
先,1
夜里,1
尸体,1
上取,1
它们,1
地下,1
大喊大叫,1
脸红,1
人有,1
准备,1
最后,1
差点儿,1
起初,1
一言不发,1
作声,1
为了,1
真是,1
完全,1
属实,1
停下来,1
开,1
正站,1
门前,1
嗯,1
没什么,1
一样,1
丈夫,1
从来不,1
出生,1
得知,1
亲生,1
居民,1
从那以后,1
造成,1
静悄悄,1
手,1
热辣辣,1
哭迪,1
几天,1
双眼,1
那一刻,1
真恨,1
许多年,1
新,1
转眼间,1
湛蓝,1
开着,1
花朵,1
不同,1
而且,1
走到,1
再到,1
真,1
去过,1
春,1
去夏,1
离,1
一连,1
几小时,1
马背上,1
疲惫,1
大而,1
喧闹,1
市镇,1
以前,1
从来,1
有点,1
地区,1
一位,1
人物,1
里关,1
听取,1
证词,1
之前,1
等候,1
一扇,1
