单词,次数
大雪,1
凛凛,1
外,1
一无所有,1
几个,1
向南走,1
大地,1
或者,1
更糟,1
忍受着,1
饥饿,1
目前,1
墙上,1
字,1
一句,1
话天,1
本文,1
作者,1
蒂姆,1
维,1
卡里,1
经验丰富,1
教师,1
作家,1
北部,1
约克,1
伦敦,1
艘,1
船顺,1
泰晤士河,1
驶去,1
成千上万,1
伫立,1
岸边,1
观望,1
幸福,1
罗伯特,1
福尔,1
康,1
个头,1
不高,1
长得,1
穿着,1
蓝色,1
制服,1
长着,1
娃娃脸,1
看上去,1
仍,1
小孩,1
双眼,1
乌黑,1
沉静,1
斯奥茨,1
水手,1
多么,1
令人兴奋,1
看看,1
觉得,1
好似,1
的确,1
名扬天下,1
船尾,1
巨幅,1
将会,1
夹,1
里面,1
第一面,1
拉开,1
木,1
高个,1
长脸,1
室外,1
稍候片刻,1
万籁俱寂,1
目光,1
所及,1
之处,1
树林,1
天近,1
傍晚,1
黑沉沉,1
天空,1
快步,1
海边,1
一艘,1
大型,1
木船,1
聊着,1
悄悄地,1
这船,1
门号,1
一艘船,1
有位,1
德正,1
天色,1
这位,1
面部,1
表情,1
每个,1
北极圈,1
航行,1
毫不,1
知情,1
午夜,1
驶离,1
家园,1
南部,1
小岛,1
该,1
岛,1
很小,1
一间,1
小木屋,1
两棵树,1
将近,1
德说,1
狗岛,1
树旁,1
房顶,1
处处,1
走出,1
我养,1
条罗,1
阿尔哈,1
塞尔,1
说条,1
格陵兰,1
狗太好,1
啥事,1
不干,1
整天,1
好吃,1
好玩,1
正在,1
欢度,1
好好,1
喂,1
德别,1
帮帮我,1
全弄,1
肥,1
壮不愿,1
苦干,1
高兴,1
肮脏,1
病倒,1
提出,1
种种,1
提问,1
即将,1
几千公里,1
合恩角,1
北到,1
等等,1
等到,1
弄,1
狗别,1
搞不懂,1
好长时间,1
议论纷纷,1
召集,1
大船,1
尾部,1
大幅,1
难题,1
当即,1
解答,1
两年,1
去年,1
皮里,1
正要,1
为时过晚,1
听不懂,1
话,1
却大谈,1
稍作,1
全体人员,1
多嘴,1
好远,1
今年,1
赶往,1
省悟,1
难以,1
自制,1
浑身,1
亢奋,1
不已,1
眼睁睁,1
同意,1
之快,1
拥有,1
杰出,1
能手,1
有何,1
看法,1
一时间,1
场面,1
考虑,1
德朗,1
场,1
绝妙,1
之极,1
惠灵顿,1
迎面,1
走来,1
我能,1
谈谈,1
停下来,1
面带微笑,1
行,1
会,1
这个,1
展开,1
报上,1
争先,1
脸色,1
苍白,1
认真,1
记者,1
观察,1
那么,1
开口,1
这场,1
真是,1
我来,1
为了,1
了解,1
不感兴趣,1
手里,1
张,1
当天,1
晚些时候,1
同行,1
讲起,1
并且,1
没关系,1
人数,1
占优势,1
钱,1
狗外,1
熟悉,1
狗性,1
干不了,1
配有,1
新式,1
比狗,1
好使,1
送来,1
就够,1
忘,1
分配,1
不让,1
负责,1
买马,1
奥茨一,1
大为,1
光火,1
大部分,1
老态,1
毕,1
呈,1
病马,1
漂亮,1
说纯,1
中国,1
货匹匹,1
出色,1
恼火,1
随即,1
哪里,1
门奥茨,1
朝里,1
思索,1
远不止,1
斯往,1
哪放,1
老兄,1
十分,1
深夜,1
信是,1
养,1
船首,1
小舱,1
进餐,1
正好,1
装运,1
船舱,1
餐桌,1
脏兮兮,1
犯,1
错误,1
其实,1
船特若,1
夏末,1
人均,1
做好,1
以求,1
第二年,1
时能,1
进军,1
群狗拉着,1
高速,1
卸下来,1
拉到,1
一旁,1
建起,1
屋子里,1
堆满,1
称作,1
外群,1
住,1
雪下,1
挖出,1
狗洞,1
征途,1
南方,1
运出,1
放到,1
各个,1
屋里,1
奔赴,1
随身带,1
半吨,1
南,1
颇为,1
此时,1
相对来说,1
算,1
介于,1
质量,1
不慢,1
五六十,1
建立,1
精心,1
明年,1
这点,1
特别,1
屋顶,1
东边,1
每,1
半公里,1
西边,1
屋向,1
左,1
见得着,1
右,1
看得见,1
带上,1
低达,1
寒风凛冽,1
雪花,1
漫天,1
困狗乏,1
靴子,1
顶事,1
第二个,1
面旗,1
目的,1
时近,1
早已,1
远驶,1
南美洲,1
里奥,1
茨,1
跟随,1
第一座,1
人匹,1
陷进,1
快些,1
夜里,1
挖,1
承受,1
奥茨向,1
请示,1
强劲,1
沾,1
一层,1
走不动,1
别,1
犯傻,1
强壮,1
畜牲,1
这匹,1
病歪歪,1
无精打采,1
根本无法,1
绝对,1
拼命,1
地为,1
可,1
不想,1
杀掉,1
动作,1
慢,1
花,1
天才,1
屋在,1
棚顶,1
大黑,1
构筑,1
冰岛,1
上海,1
冰,1
还会,1
空洞,1
冰下,1
头,1
冰窟,1
中掉,1
掉,1
不见天日,1
昏暗,1
低到,1
覆盖,1
房间,1
忙,1
各自,1
是从,1
商店,1
购买,1
德对,1
满意,1
上换,1
部件,1
功夫,1
结实,1
更好,1
使,1
卖力,1
照顾,1
改良,1
远,1
赴,1
谈论着,1
脑子里,1
装,1
隆冬,1
能快,1
很难,1
料定,1
虽,1
累乏,1
没日没夜,1
怒极,1
真蠢,1
