楼盘,具体位置,户型,楼盘状态
西单上国阙,[西城] 西单时代广场中组部南200米路东,2居/ 3居/ 4居/ 5居/ 5居以上 － 161~482平米,在售 普通住宅 大平层 国际化社区 豪华居住区
天安国汇,[西城] 宣内大街西绒线胡同28号(美爵酒店东侧),天安国汇户型为140-400平2-4居在售,在售 酒店式公寓 普通住宅
中骏天宸,[西城] 德胜门北800米,中骏天宸在售价格为：500万元/套起,在售 普通住宅 中式地产
玺源台,"[西城] 广安门外大街305号,莲花池东路,会城门桥...",1居 － 63平米,在售 普通住宅 现房 中式地产
